Time_Sec,Area_M2
0.0,0.0
0.6,0.0
0.7,0.0
0.9,794.5
1.0,813.75
1.2,813.75
1.3,813.75
1.5,813.75
1.6,813.75
1.7,813.75
1.8,813.75
1.9,813.75
2.1,813.75
2.2,813.75
2.3,813.75
2.4,813.75
2.6,813.75
2.7,813.75
2.8,813.75
2.9,813.75
3.1,813.75
3.2,813.75
3.3,813.75
3.4,813.75
3.5,813.75
3.7,813.75
3.8,813.75
3.9,813.75
4.0,813.75
4.2,813.75
4.3,813.75
4.4,813.75
4.5,813.75
4.7,813.75
4.8,813.75
4.9,813.75
5.0,813.75
5.2,813.75
5.3,813.75
5.4,813.75
5.5,813.75
5.6,813.75
5.8,813.75
5.9,813.75
6.0,813.75
